node_id,betweenness_centrality,in_degree,out_degree,clustering_coefficient,delayed_trips,avg_delay_factor,node_name,sla_breach_score,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15
IND388121AAA,0.0004053738488258,1,1,0.5,54.0,1.3923076923076922,Anand_VUNagar_DC (Gujarat),0.0218901878365953,5.596932644460656e-08,-1.1662972281256123e-08,6.070213613446296e-08,2.2062014525028956e-08,3.4140042926788876e-09,-6.401055986788066e-09,3.04763320592449e-08,-4.634453258462711e-08,4.965096060230812e-09,9.171172778024869e-09,1.97035586571933e-08,-6.68240638815928e-08,1.6121340122552506e-07,-2.58396849504223e-07,2.2504363153622673e-07,-1.2834646777523232e-07
IND388620AAB,0.0004031846111184,1,1,0.5,69.0,1.75,Khambhat_MotvdDPP_D (Gujarat),0.0278197381671701,5.596932644407296e-08,-1.1662972281260224e-08,6.070213613382042e-08,2.2062014525310713e-08,3.4140042922871055e-09,-6.401055985728224e-09,3.047633205850306e-08,-4.6344532585034915e-08,4.965096060741888e-09,9.171172777790279e-09,1.97035586572866e-08,-6.682406388137534e-08,1.6121340122533207e-07,-2.583968495042713e-07,2.2504363153674204e-07,-1.283464677757888e-07
IND421302AAG,0.0696252368382474,29,29,0.0591299019607843,9085.0,2.158751220100741,Bhiwandi_Mankoli_HB (Maharashtra),632.5452766754784,5.596932644386293e-08,-1.1662972282701386e-08,6.070213613339138e-08,2.2062014524428555e-08,3.4140042921848908e-09,-6.4010559874246116e-09,3.047633205850328e-08,-4.634453258511587e-08,4.965096060298528e-09,9.171172777190548e-09,1.9703558658695992e-08,-6.682406388056623e-08,1.6121340122603673e-07,-2.583968495042981e-07,2.250436315370604e-07,-1.2834646777555745e-07
IND400011AAA,0.0008078287140417,2,2,0.0,131.0,3.191233766233766,LowerParel_CP (Maharashtra),0.1058255615394719,5.5969326444066315e-08,-1.166297228238442e-08,6.070213613227629e-08,2.206201452444522e-08,3.414004293113591e-09,-6.40105598866025e-09,3.047633205809584e-08,-4.634453258499005e-08,4.965096060267772e-09,9.171172777505012e-09,1.970355865870425e-08,-6.68240638800697e-08,1.612134012256195e-07,-2.5839684950481474e-07,2.2504363153585054e-07,-1.2834646777543016e-07
IND562132AAA,0.1249428383249182,36,35,0.0548112058465286,9837.0,1.6068346614266025,Bangalore_Nelmngla_H (Karnataka),1229.0627006022212,5.5969326443750365e-08,-1.166297228191608e-08,6.070213613335488e-08,2.2062014524494296e-08,3.414004292619304e-09,-6.401055987352964e-09,3.047633205796727e-08,-4.634453258472837e-08,4.965096060492698e-09,9.171172776769682e-09,1.9703558658329095e-08,-6.682406388315227e-08,1.6121340122675358e-07,-2.5839684950400704e-07,2.2504363153734544e-07,-1.2834646777587035e-07
IND560099AAB,0.0034754774101943,11,18,0.1473551637279597,1649.0,1.5446806402327071,Bengaluru_Bomsndra_HB (Karnataka),5.731062249410468,5.596932644420193e-08,-1.1662972281656412e-08,6.07021361342345e-08,2.2062014524642887e-08,3.4140042918961096e-09,-6.401055987461465e-09,3.047633205757519e-08,-4.634453258449364e-08,4.965096060480574e-09,9.171172776717242e-09,1.9703558658327338e-08,-6.682406388312065e-08,1.6121340122679098e-07,-2.5839684950306493e-07,2.2504363153874318e-07,-1.2834646777637042e-07
IND141003AAB,0.0,0,3,0.5,50.0,1.6947274947274948,Ludhiana_GillChwk_DC (Punjab),0.0,5.5969326443905134e-08,-1.1662972281519226e-08,6.070213613169288e-08,2.206201452412526e-08,3.414004293145061e-09,-6.40105598788673e-09,3.047633205806865e-08,-4.634453258297431e-08,4.965096059553812e-09,9.17117277649611e-09,1.970355866114759e-08,-6.682406387869078e-08,1.6121340122739838e-07,-2.583968495056695e-07,2.2504363153680353e-07,-1.2834646777741097e-07
IND142026AAA,0.0,1,2,0.5,21.0,1.634126984126984,Jagraon_DC (Punjab),0.0,5.59693264444612e-08,-1.1662972281459237e-08,6.070213613153716e-08,2.206201452390428e-08,3.414004291926789e-09,-6.401055987527049e-09,3.047633205714498e-08,-4.634453258377186e-08,4.965096059445514e-09,9.171172776047972e-09,1.9703558660891604e-08,-6.682406387846337e-08,1.6121340122796312e-07,-2.5839684950693836e-07,2.2504363153721646e-07,-1.2834646777595328e-07
IND141109AAA,0.0,2,1,0.5,0.0,0.0,Raikot_DC (Punjab),0.0,5.596932644461475e-08,-1.1662972281196397e-08,6.070213613200597e-08,2.2062014524551203e-08,3.4140042915665894e-09,-6.401055987310649e-09,3.0476332056977777e-08,-4.634453258318968e-08,4.9650960594463655e-09,9.171172776044969e-09,1.970355866123515e-08,-6.682406387817382e-08,1.6121340122734298e-07,-2.5839684950647397e-07,2.2504363153700637e-07,-1.2834646777584134e-07
IND362001AAA,4.050089758746005e-05,3,4,0.0238095238095238,202.0,1.6845975783475782,Junagadh_DPC (Gujarat),0.0081811813126669,-2.504606635873053e-06,5.457476016862612e-07,5.395740604747639e-07,1.356123103209394e-06,3.037192349743708e-06,4.08133068848055e-06,-3.936666038041374e-06,-3.1469025349696226e-05,-5.3825297498702614e-05,3.63214602851644e-05,0.12584876755827135,-0.0004333693280443672,4.933699821904144e-06,1.5127338097984449e-06,3.710762018722096e-06,2.7169892782653062e-06
